command	category	module	platforms	description
run	safe	project	all	Run the project entry point
setup	modifying	project	all	Install dependencies and prepare the project
check	safe	project	all	Static checks (config + health)
ci	safe	project	all	Full local pipeline (check + tests)
status	safe	project	all	Show project and platform status
platform	safe	project	all	Detect the current platform
platforms	safe	project	all	List every supported platform
health	safe	project	all	Check required tools for this platform
health-all	safe	project	all	Check tools across all platforms
cure-plan	safe	project	all	Show what cure would install (dry-run)
cure	confirm	project	all	Install missing required tools
doctor	safe	project	all	Full environment diagnostics
pending	safe	project	all	Show detected-but-unavailable commands (background)
version	safe	project	all	Show the project/template version
config init	modifying	config	all	Create .env from .env.example
config check	safe	config	all	Verify required env vars are set
config diff	safe	config	all	Diff .env keys against .env.example
db backup	modifying	db	all	Back up the database
db restore	confirm	db	all	Restore the database from a file
db reset	confirm	db	all	Reset the database to a clean state
tests all	safe	tests	all	Run every test suite
reports all	safe	reports	all	Generate every report
